company_full_name,company_name,ticker,email,context,context_2,company_address,company_phone,company_website,CFO_full_name,CFO_first_name
Gilat Satellite Network,Gilat Satellite Network,GILT,ehud@ekgir.com,"EK Global IR Ehud Helft, Managing Partner","EK Global IR Ehud Helft, Managing Partner ehud@ekgir.com","Gilat House   21 Yegia Kapayim Street Kiryat Arye   Petah Tikva, 4913020   Israel",972 3 925 2000  ,https://www.gilat.com  ,Mr. Gil  Benyamini ,Gil
Gilat Satellite Network,Gilat Satellite Network,GILT,hagayk@gilat.com,"Contact: Gilat Satellite Networks Hagay Katz, Chief Products and Marketing Officer",,"Gilat House   21 Yegia Kapayim Street Kiryat Arye   Petah Tikva, 4913020   Israel",972 3 925 2000  ,https://www.gilat.com  ,Mr. Gil  Benyamini ,Gil
GoHealth,GoHealth,GOCO,Pressinquiries@gohealth.com,,Media Relations,"222 West Merchandise Mart Plaza   Suite 1750   Chicago, IL 60654   United States",312 386 8200  ,https://www.gohealth.com  ,Mr. Jason  Schulz ,Jason
GoHealth,GoHealth,GOCO,jshave@gohealth.com,Investor Relations John Shave,Investor Relations John Shave,"222 West Merchandise Mart Plaza   Suite 1750   Chicago, IL 60654   United States",312 386 8200  ,https://www.gohealth.com  ,Mr. Jason  Schulz ,Jason
Mama's Creations Inc,Mama's Creations,MAMA,MAMA@mzgroup.us,,,"25 Branca Road   East Rutherford, NJ 07073    United States",201 531 1212  ,https://www.mamascreations.com  ,Mr. Anthony J. Gruber ,Anthony
Lightwave Logic,Lightwave Logic,LWLG,NA-editorial@proactiveinvestors.com,"Vancouver, Canada --News Direct-- Lightwave Logic Inc Lightwave Logic CEO Michael Lebby joined Steve Darling from Proactive to shared significant developments at the company, highlighting its pioneering work in electro-optic (EO) polymers for data transmission. Firstly, Lebby announced that the United States Patent and Trademark Office has issued a patent for a process that enhances the stability and performance of Lightwave Logic's EO chromophores. These chromophores are essential components of the company's platform, which utilizes engineered EO polymers to transmit data at higher speeds and lower power consumption, all within a compact form factor. Lebby expressed confidence that this patent addition to their portfolio will facilitate more commercial license deals for their EO polymers, particularly with high-volume manufacturing silicon foundries and 200mm silicon wafers. Lebby emphasized that Lightwave Logic is at the forefront of developing EO polymers for data transmission, similar to organic materials used in OLED displays. These polymers enable the high-speed switching of light, primarily benefiting data centers, telecommunications networks, and the broader internet. The company's focus is on meeting the increasing demand for faster data transmission and lower energy consumption, driven by the rise of artificial intelligence and the consequent need for enhanced computational power in data centers. Furthermore, Lightwave Logic recently participated in the Optical Fiber Conference (OFC), showcasing its technological advancements, including a record-setting 200 gigabits per second data transmission at low voltages. The company has also been securing patents to protect its innovative technology, with the latest patent related to its ""diamond I"" technology formulation. Overall, Lightwave Logic aims to make its EO polymers as ubiquitous as organic LEDs in displays by engaging with a broad range of customers for licensing and usage in their devices. The company's strategy involves demonstrating the superiority of its technology to meet the urgent need for network upgrades in the data center industry, driven by the demands of generative artificial intelligence. Contact Details Proactive North America Proactive North America +1 604-688-8158 NA-editorial@proactiveinvestors.com View source version on newsdirect.com:  https://newsdirect.com/news/lightwave-logic-leads-the-way-in-electro-optic-polymer-technology-for-enhanced-data-transmission-596936007 View comments",,"369 Inverness Parkway   Suite 350   Englewood, CO 80112   United States",720 340 4949  ,https://lightwavelogic.com  ,Mr. James S. Marcelli ,James
Lightwave Logic,Lightwave Logic,LWLG,LWLG@mzgroup.us,Investor Relations Contact: Lucas A. Zimmerman MZ Group - MZ North America 949-259-4987   www.mzgroup.us,,"369 Inverness Parkway   Suite 350   Englewood, CO 80112   United States",720 340 4949  ,https://lightwavelogic.com  ,Mr. James S. Marcelli ,James
Vox Royalty,Vox Royalty,VOXR,pascal@voxroyalty.com,+1-345-815-3939,,"66 Wellington Street West   Suite 5300 TD Bank Tower Box 48   Toronto, ON M5K 1E6   Canada",345 815 3939  ,https://www.voxroyalty.com  ,"Mr. Pascal  Attard CA, CPA ",Pascal
Vox Royalty,Vox Royalty,VOXR,info@voxroyalty.com,+1-345-815-3939,,"66 Wellington Street West   Suite 5300 TD Bank Tower Box 48   Toronto, ON M5K 1E6   Canada",345 815 3939  ,https://www.voxroyalty.com  ,"Mr. Pascal  Attard CA, CPA ",Pascal
inTEST Corporation,inTEST Corporation,INTT,dpawlowski@keiadvisors.com,Investors:  Deborah K. Pawlowski Kei Advisors LLC dpawlowski@keiadvisors.com  Tel: (716) 843-3908,,"804 East Gate Drive   Suite 200   Mount Laurel, NJ 08054   United States",(856) 505-8800  ,https://www.intest.com  ,Mr. Duncan  Gilmour ,Duncan
IDT Corporation,IDT Corporation,IDT,editorial-team@simplywallst.com,,,"520 Broad Street   Newark, NJ 07102    United States",973 438 1000  ,https://www.idt.net  ,Mr. Marcelo  Fischer ,Marcelo
IDT Corporation,IDT Corporation,IDT,william.ulrey@idt.net,,,"520 Broad Street   Newark, NJ 07102    United States",973 438 1000  ,https://www.idt.net  ,Mr. Marcelo  Fischer ,Marcelo
IDT Corporation,IDT Corporation,IDT,suzy.silliman@nrsplus.com,,,"520 Broad Street   Newark, NJ 07102    United States",973 438 1000  ,https://www.idt.net  ,Mr. Marcelo  Fischer ,Marcelo
Digital Brands Group Inc,Digital Brands Group,DBGI,,,,"1400 Lavaca Street   Austin, TX 78701    United States",209 651 0172  ,https://www.digitalbrandsgroup.co  ,Mr. Reid William Yeoman ,Reid
WELL Health Technologies,WELL Health Technologies,WHTCF,,,,"375 Water Street   Suite 550   Vancouver, BC V6B 5C6   Canada",,https://well.company  ,Ms. Eva  Fong ,Eva
Oxbridge Re Holdings,Oxbridge Re Holdings,OXBR,dean@ldmicro.com,Please reach out to the company representative below or Dean Summers ( ) to register for the event and schedule a meeting with the company.,,"42 Edward Street   Suite 201 PO Box 469   George Town, KY1-9006   Cayman Islands",345-749-7570  ,https://www.oxbridgere.com  ,Mr. Wrendon  Timothy ,Wrendon
Oxbridge Re Holdings,Oxbridge Re Holdings,OXBR,jmadhu@oxbridgere.com,Oxbridge Re Holdings Jay Madhu +1 345 749 7570 www.oxbridgere.com,,"42 Edward Street   Suite 201 PO Box 469   George Town, KY1-9006   Cayman Islands",345-749-7570  ,https://www.oxbridgere.com  ,Mr. Wrendon  Timothy ,Wrendon
Dolphin Entertainment Inc,Dolphin Entertainment,DLPN,james@haydenir.com,,,"150 Alhambra Circle   Suite 1200   Coral Gables, FL 33134   United States",305 774 0407  ,https://www.dolphinentertainment.com  ,Ms. Mirta A. Negrini ,Mirta
"BioLargo, Inc.",BioLargo .,BLGO,media@otcmarkets.com,,,"14921 Chestnut Street   Westminster, CA 92683    United States",888 400 2863  ,https://www.biolargo.com  ,"Mr. Charles K. Dargan II, C.F.A. ",Charles
"BioLargo, Inc.",BioLargo .,BLGO,johnv@otcmarkets.com,"Virtual Investor Conferences Contact: John M. Viglotti SVP Corporate Services, Investor Access OTC Markets Group  (212) 220-2221",,"14921 Chestnut Street   Westminster, CA 92683    United States",888 400 2863  ,https://www.biolargo.com  ,"Mr. Charles K. Dargan II, C.F.A. ",Charles
"BioLargo, Inc.",BioLargo .,BLGO,conferences@watertowerresearch.com,"Water Tower Research Contact: Timothy M. Regan Chief Revenue Officer Water Tower Research, LLC (978) 505-2478",,"14921 Chestnut Street   Westminster, CA 92683    United States",888 400 2863  ,https://www.biolargo.com  ,"Mr. Charles K. Dargan II, C.F.A. ",Charles
Intensity Therapeutics,Intensity Therapeutics,INTS,media@portagebiotech.com,Media Relations:,,"61 Wilton Road   3rd Floor   Westport, CT 06880   United States",203 221 7381  ,https://intensitytherapeutics.com  ,"Mr. Joseph  Talamo CPA, M.B.A. ",Joseph
Intensity Therapeutics,Intensity Therapeutics,INTS,ir@portagebiotech.com,Investor Relations:,,"61 Wilton Road   3rd Floor   Westport, CT 06880   United States",203 221 7381  ,https://intensitytherapeutics.com  ,"Mr. Joseph  Talamo CPA, M.B.A. ",Joseph
Assertio Holdings,Assertio Holdings,ASRT,mkreps@darrowir.com,"The Company will host a group presentation at 4:00 pm Eastern Time, and be available for individual meetings throughout the day. Attending investors interested in meeting with the Company can request a meeting on the conference platform, or contact Assertio investor relations via  . Matt Kreps, Managing Director Darrow Associates M: 214-597-8200 mkreps@darrowir.com","Matt Kreps, Managing Director Darrow Associates M: 214-597-8200","100 South Saunders Road   Suite 300   Lake Forest, IL 60045   United States",224 419 7106  ,https://www.assertiotx.com  ,Mr. Ajay  Patel ,Ajay
Intensity Therapeutics,Intensity Therapeutics,INTS,Justin@coreir.com,Mr. Bender will be available for one-on-one meetings with registered investors of the conference. To schedule a one-on-one meeting please contact  Dean Summers  at LD Micro ( dean@ldmicro.com ) or  Justin Kulik  at  . Investor Relations Contact: Justin Kulik Justin@coreir.com (585) 230 6401,,"61 Wilton Road   3rd Floor   Westport, CT 06880   United States",203 221 7381  ,https://intensitytherapeutics.com  ,"Mr. Joseph  Talamo CPA, M.B.A. ",Joseph
Intensity Therapeutics,Intensity Therapeutics,INTS,julesa@coreir.com,Media Contact: Jules Abraham CORE IR,,"61 Wilton Road   3rd Floor   Westport, CT 06880   United States",203 221 7381  ,https://intensitytherapeutics.com  ,"Mr. Joseph  Talamo CPA, M.B.A. ",Joseph
Acme United Corporation,Acme United Corporation,ACU,pdriscoll@acmeunited.com,"Acme United Corporation Paul G. Driscoll, 203-254-6060",,"1 Waterview Drive   Suite 200   Shelton, CT 06484   United States",203 254 6060  ,https://www.acmeunited.com  ,Mr. Paul G. Driscoll ,Paul
Creative Realities,Creative Realities,CREX,rick.mills@cri.com,"Name: Rick Mills Phone: 502-500-9520 Address: 13100 Magisterial Drive, Suite 100, Louisville KY 40223 Email: ",,,,,,
"Heritage Global, Inc",Heritage Global,HGBL,InvestorRelations@hginc.com,Investor Relations: John Nesbett/Jennifer Belodeau IMS Investor Relations 203/972.9200,,,,,,
Crexendo,Crexendo,CXDO,dgaylor@crexendo.com,"Crexendo, Inc. Doug Gaylor President and Chief Operating Officer 602-732-7990",,"1615 South 52nd Street   Tempe, AZ 85281    United States",602 714 8500  ,https://www.crexendo.com  ,Mr. Ronald  Vincent ,Ronald
NXT Energy Solutions Inc.,NXT Energy Solutions .,NSFDF,nxt_info@nxtenergy.com,nxt_info@nxtenergy.com,,"3320 - 17th Avenue Southwest   Suite 302   Calgary, AB T3E 0B4   Canada",403 264 7020  ,https://www.nxtenergy.com  ,Mr. Eugene  Woychyshyn ,Eugene
Caliber,Caliber,CWD,,,,"8901 E Mountain View Road   Suite 150   Scottsdale, AZ 85258   United States",480-295-7600  ,https://www.caliberco.com  ,Mr. Jade  Leung ,Jade
Byrna Technologies,Byrna Technologies,BYRN,,,,"100 Burtt Road   Suite 115   Andover, MA 01810   United States",978 868 5011  ,https://www.byrna.com  ,Mr. David R. North ,David
Inuvo Inc.,Inuvo .,INUV,wallace.ruiz@inuvo.com,"Inuvo Inc. Enhanced reporting facilitates impactful client conversations and informed decision making regarding audiences across the marketing funnel LITTLE ROCK, Ark., March 19, 2024 (GLOBE NEWSWIRE) -- Inuvo, Inc. (NYSE American: INUV), a leading provider of marketing technology, powered by its proprietary IntentKey artificial intelligence (AI) that serves brands and agencies, has announced significant enhancements to its custom-designed, AI-powered Insights Dashboard, detailing target audience interests and campaign performance. Inuvo’s AI was designed to solve the two biggest problems facing advertisers in a cookieless world: audience targeting and performance measurement. With this update, clients now have the information they need to make better decisions. The enhanced dashboard includes three key sections: Funnel Overview:  This added view illustrates how IntentKey clients build brand awareness to drive users down the conversion funnel over time. It highlights key metrics around brand affinity, site engagement, and conversion, showcasing the customer's path to purchase. These updates allow clients to better understand the differences between audiences at different stages across the marketing conversion funnel. Model Insights:  The interface already provides detailed analytics on audience insights, segments, concept drivers, AI-generated personas, television programming, and conversion likelihood by state. With the latest update, clients can now also see specifically which podcasts align with their audiences. Performance Spend Analysis:  The view instantly provides Inuvo clients the power to predictively measure the impact of campaigns across marketing tactics based on their KPIs. Uniquely, this feature now empowers clients to deploy and measure cookieless versus cookie-based tactics, a capability not available with vendors whose technology requires cookies to function. With advanced Media Mix Modeling (MMM), clients can easily and accurately compare the efficiency of different programmatic tactics across devices including IOS, where cookies are no longer present. “We are excited to launch the next generation of our Insights Dashboard that arms our clients with unmatched transparency into the true drivers of their campaign performance,” said Inuvo SVP of IntentKey Products, Amir Bakhshaie. “By marrying IntentKey’s predictive AI with enhanced analytics, we can have more impactful conversations that help our clients' campaigns and businesses thrive."" The enhanced dashboard advances Inuvo’s mission of AI-powered audience discovery and delivery of actionable insights to drive performance. Going beyond standard dashboards, the IntentKey Insights Dashboard allows clients to make more informed decisions to boost acquisition and conversion. As one of the first to provide such comprehensive analytics in a cookie-free world, Inuvo is pioneering the future of advertising performance measurement. Story continues Reporting from the IntentKey Insights Dashboard is available to all Inuvo clients. To learn more, visit inuvo.com. About Inuvo Inuvo®, Inc. (NYSE American: INUV) is a market leader in Artificial Intelligence built for advertising. Its IntentKey AI solution is a first-of-its-kind proprietary and patented technology capable of identifying and actioning to the reasons why consumers are interested in products, services, or brands, not who those consumers are. To learn more, visit  www.inuvo.com . Safe Harbor / Forward-Looking Statements This press release contains “forward-looking statements” within the meaning of the Private Securities Litigation Reform Act of 1995, including statements regarding Inuvo’s quarter-end financial close process and preparation of financial statements for the quarter that are subject to risks and uncertainties that could cause results to be materially different than expectations. These forward-looking statements are subject to risks and uncertainties that may cause actual results to differ materially, including, without limitation risks detailed from time to time in our filings with the Securities and Exchange Commission (the “SEC”), and represent our views only as of the date they are made and should not be relied upon as representing our views as of any subsequent date. You are urged to carefully review and consider any cautionary statements and other disclosures, including the statements made under the heading ""Risk Factors"" in Inuvo, Inc.'s Annual Report on Form 10-K for the fiscal year ended December 31, 2023 as filed on February 29, 2024, and our other filings with the SEC. Additionally, forward looking statements are subject to certain risks, trends, and uncertainties including the continued impact of Covid-19 on Inuvo’s business and operations. Inuvo cannot provide assurances that the assumptions upon which these forward-looking statements are based will prove to have been correct. Should one of these risks materialize, or should underlying assumptions prove incorrect, actual results may vary materially from those expressed or implied in any forward-looking statements, and investors are cautioned not to place undue reliance on these forward-looking statements, which are current only as of this date. Inuvo does not intend to update or revise any forward-looking statements made herein or any other forward-looking statements as a result of new information, future events or otherwise. Inuvo further expressly disclaims any written or oral statements made by a third party regarding the subject matter of this press release. The information which appears on our websites and our social media platforms is not part of this press release. Inuvo Company Contact:  Wally Ruiz Chief Financial Officer Tel (501) 205-8397 wallace.ruiz@inuvo.com Investor Relations : David Waldman / Natalya Rudman Crescendo Communications, LLC Tel: (212) 671-1020 inuv@crescendo-ir.com View comments",Wally Ruiz  Chief Financial Officer  Tel (501) 205-8397 ,"500 President Clinton Avenue   Suite 300   Little Rock, AR 72201   United States",501 205 8508  ,https://inuvo.com  ,Mr. Wallace D. Ruiz Sr. ,Wallace
Inuvo Inc.,Inuvo .,INUV,inuv@crescendo-ir.com,"Inuvo Inc. Enhanced reporting facilitates impactful client conversations and informed decision making regarding audiences across the marketing funnel LITTLE ROCK, Ark., March 19, 2024 (GLOBE NEWSWIRE) -- Inuvo, Inc. (NYSE American: INUV), a leading provider of marketing technology, powered by its proprietary IntentKey artificial intelligence (AI) that serves brands and agencies, has announced significant enhancements to its custom-designed, AI-powered Insights Dashboard, detailing target audience interests and campaign performance. Inuvo’s AI was designed to solve the two biggest problems facing advertisers in a cookieless world: audience targeting and performance measurement. With this update, clients now have the information they need to make better decisions. The enhanced dashboard includes three key sections: Funnel Overview:  This added view illustrates how IntentKey clients build brand awareness to drive users down the conversion funnel over time. It highlights key metrics around brand affinity, site engagement, and conversion, showcasing the customer's path to purchase. These updates allow clients to better understand the differences between audiences at different stages across the marketing conversion funnel. Model Insights:  The interface already provides detailed analytics on audience insights, segments, concept drivers, AI-generated personas, television programming, and conversion likelihood by state. With the latest update, clients can now also see specifically which podcasts align with their audiences. Performance Spend Analysis:  The view instantly provides Inuvo clients the power to predictively measure the impact of campaigns across marketing tactics based on their KPIs. Uniquely, this feature now empowers clients to deploy and measure cookieless versus cookie-based tactics, a capability not available with vendors whose technology requires cookies to function. With advanced Media Mix Modeling (MMM), clients can easily and accurately compare the efficiency of different programmatic tactics across devices including IOS, where cookies are no longer present. “We are excited to launch the next generation of our Insights Dashboard that arms our clients with unmatched transparency into the true drivers of their campaign performance,” said Inuvo SVP of IntentKey Products, Amir Bakhshaie. “By marrying IntentKey’s predictive AI with enhanced analytics, we can have more impactful conversations that help our clients' campaigns and businesses thrive."" The enhanced dashboard advances Inuvo’s mission of AI-powered audience discovery and delivery of actionable insights to drive performance. Going beyond standard dashboards, the IntentKey Insights Dashboard allows clients to make more informed decisions to boost acquisition and conversion. As one of the first to provide such comprehensive analytics in a cookie-free world, Inuvo is pioneering the future of advertising performance measurement. Story continues Reporting from the IntentKey Insights Dashboard is available to all Inuvo clients. To learn more, visit inuvo.com. About Inuvo Inuvo®, Inc. (NYSE American: INUV) is a market leader in Artificial Intelligence built for advertising. Its IntentKey AI solution is a first-of-its-kind proprietary and patented technology capable of identifying and actioning to the reasons why consumers are interested in products, services, or brands, not who those consumers are. To learn more, visit  www.inuvo.com . Safe Harbor / Forward-Looking Statements This press release contains “forward-looking statements” within the meaning of the Private Securities Litigation Reform Act of 1995, including statements regarding Inuvo’s quarter-end financial close process and preparation of financial statements for the quarter that are subject to risks and uncertainties that could cause results to be materially different than expectations. These forward-looking statements are subject to risks and uncertainties that may cause actual results to differ materially, including, without limitation risks detailed from time to time in our filings with the Securities and Exchange Commission (the “SEC”), and represent our views only as of the date they are made and should not be relied upon as representing our views as of any subsequent date. You are urged to carefully review and consider any cautionary statements and other disclosures, including the statements made under the heading ""Risk Factors"" in Inuvo, Inc.'s Annual Report on Form 10-K for the fiscal year ended December 31, 2023 as filed on February 29, 2024, and our other filings with the SEC. Additionally, forward looking statements are subject to certain risks, trends, and uncertainties including the continued impact of Covid-19 on Inuvo’s business and operations. Inuvo cannot provide assurances that the assumptions upon which these forward-looking statements are based will prove to have been correct. Should one of these risks materialize, or should underlying assumptions prove incorrect, actual results may vary materially from those expressed or implied in any forward-looking statements, and investors are cautioned not to place undue reliance on these forward-looking statements, which are current only as of this date. Inuvo does not intend to update or revise any forward-looking statements made herein or any other forward-looking statements as a result of new information, future events or otherwise. Inuvo further expressly disclaims any written or oral statements made by a third party regarding the subject matter of this press release. The information which appears on our websites and our social media platforms is not part of this press release. Inuvo Company Contact:  Wally Ruiz Chief Financial Officer Tel (501) 205-8397 wallace.ruiz@inuvo.com Investor Relations : David Waldman / Natalya Rudman Crescendo Communications, LLC Tel: (212) 671-1020 inuv@crescendo-ir.com View comments","Management will also be available for one-on-one meetings with approved qualified investors throughout the conference. To request a meeting with Inuvo, please contact   or Dean Summers at  dean@ldmicro.com . David Waldman / Natalya Rudman  Crescendo Communications, LLC  Tel: (212) 671-1020  inuv@crescendo-ir.com","500 President Clinton Avenue   Suite 300   Little Rock, AR 72201   United States",501 205 8508  ,https://inuvo.com  ,Mr. Wallace D. Ruiz Sr. ,Wallace
Beam Global,Beam Global,BEAM,,,,"238 Main Street   9th Floor   Cambridge, MA 02142-1016   United States",857 327 8775  ,https://beamtx.com  ,Ms. Terry-Ann  Burrell M.B.A. ,Terry
Lexaria Bioscience Corp.,Lexaria Bioscience .,LEXX,ir@lexariabioscience.com,"George Jurcic - Head of Investor Relations Phone: 250-765-6424, ext 202","George Jurcic - Head of Investor Relations Phone: 250-765-6424, ext 202","740 McCurdy Road   Suite 100   Kelowna, BC V1X 2P7   Canada",250 765 6424  ,https://lexariabioscience.com  ,Mr. Nelson D. Cabatuan CPA ,Nelson
"Music Royalties, Inc",Music Royalties,,,,,,,,,
Foresight Autonomous Holdings Ltd,Foresight Autonomous Holdings,FRSX,msegal@ms-ir.com,,,"Park HaMada   7 Golda Meir Street   Ness Ziona, 7403650   Israel",972 7 797 09030  ,https://www.foresightauto.com  ,Mr. Eliyahu  Yoresh ,Eliyahu
